	videoId	narrative	super_narrative
992	uAdXyBqTA5c	None	None
993	4dZ5e5LPATo	Let’s overthrow the establishment	It is Us vs. Them (the establishment)
994	tEOszvXgJf8	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
995	LfmPVqRAXkM	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
996	SYIxMYiWick	Many asylum seekers are actually economic migrants	Immigration burdens the economy & welfare narrative
997	LFQ6nZJklZY	Immigration is a threat to national security	Immigration is a threat
998	h1Ta-88kfkU	There are too many immigrants coming	Immigration is out of control
999	frng1pGG5GM	Let’s overthrow the establishment	It is Us vs. Them (the establishment)
1000	ZAd29ULeUcQ	None	None
1001	jWtG2iYivZs	There are too many immigrants coming	Immigration is out of control
1002	i8qGKGFtUek	Immigrants abuse the welfare system	Immigration burdens the economy & welfare narrative
1003	S0qFEaD2p0c	Great replacement	Immigration is part of a conspiracy
1004	r7WzcS1bHYk	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
1005	qDKVmUfPVg8	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
1006	efgQ4323d2A	None	None
1007	fJQVB0UykT8	Immigration is a threat to individual safety	Immigration is a threat
1008	FjXor6vlMOg	Immigrants are a strain on our health-care system	Immigration burdens the economy & welfare narrative
1009	irOZV6vjjKs	EU is harmful for our nation	It is Us vs. Them (the establishment)
1010	-_qJtwfkdIw	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
1011	QDHL704ul1s	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
1012	W_rY_64tDu4	Many asylum seekers are actually economic migrants	Immigration burdens the economy & welfare narrative
1013	DO5Li6tCDZ8	Immigrants are a strain on our health-care system	Immigration burdens the economy & welfare narrative
1014	rEoSpLFG874	Our borders are strained and/or insufficiently controlled	Immigration is out of control
1015	y0pydTNQgPk	We represent the people	We are competent
1016	9-UcN5CSee4	Immigration is a threat to national security	Immigration is a threat
1017	IOj4Cl9pEjU	Immigrants abuse the welfare system	Immigration burdens the economy & welfare narrative
1018	FtTTA5EodPg	None	None
1019	n7LcGcjMqU0	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
1020	Jss1s3H27OY	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
1021	qax7HsOBFOI	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
1022	BAzX3EaQyjk	Immigrants are victims of false hope	Immigrants are victims
1023	tFwD80xh9nA	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
1024	6TX3BhatOjg	There are too many immigrants coming	Immigration is out of control
1025	vcgqHv4__3g	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
1026	22g-TBGYiTU	Immigrants are victims of human traffickers.	Immigrants are victims
1027	9GfM_Ljo-tM	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
1028	TN2BQcN2vxE	Immigration is a threat to national security	Immigration is a threat
1029	yD_Kj3iCVzk	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
1030	Hgfw4VLlAcM	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
1031	ieMzN0Q19BI	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
1032	uOEKZFnuupo	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
1033	qisR8Ou0rEQ	Promoting policy initiatives or ideas	We are competent
1034	cureo3-MBYw	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
1035	nHq7hofpWSs	Immigrants are prone to committing crimes (violent, non-violent, or organised)	Immigration is a threat
1036	Kx-kJ8EYFKk	None	None
1037	5P9ZmoxNRXU	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
1038	h7BM-vEr3do	Natives first	Immigration burdens the economy & welfare narrative
1039	lWKZvc48Nck	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
1040	XGEhFOiBYaY	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
1041	XLsierj0MuI	We will reinstate order	We are competent
1042	gYwIIVA3BWU	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
1043	H9cde07tNcA	Promoting policy initiatives or ideas	We are competent
1044	-4LFNlztdzk	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
1045	C6TpvaX5isY	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
1046	hdRjrmJEIE0	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
1047	fnUHD1KD53g	There are too many immigrants coming	Immigration is out of control
1048	LdLxz-2kgss	Immigrants are victims of human traffickers.	Immigrants are victims
1049	yUKugVFY_lk	None	None
1050	xY9-LhwzuXg	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
1051	fUam83NhcYI	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
1052	7_-2A9PWAQs	Immigration is a threat to national security	Immigration is a threat
1053	PJg0gkPZaEo	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
1054	0f8mDmLta6M	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
1055	Eez6o3leSa8	Immigrants abuse the welfare system	Immigration burdens the economy & welfare narrative
1056	M5kUFFJJX0E	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
1057	9iDsva1IfWE	We will reinstate order	We are competent
1058	cK6qR89zYXU	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
1059	Q2IcjrlQcSg	Immigration is a threat to individual safety	Immigration is a threat
1060	KY2Nb0wfNDo	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
1061	rDwLq3KT7Ss	None	None
1062	k8OfvFKxsUg	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
1063	4ixW0LDQS4M	Immigration is a threat to national security	Immigration is a threat
1064	_us-cO-GnCg	Our borders are strained and/or insufficiently controlled	Immigration is out of control
1065	NfghI60EgrQ	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
1066	POlKRu8yFxY	Immigrants are victims of human traffickers.	Immigrants are victims
1067	UEIwuuH0aiI	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
1068	38wmZT6RBnM	Immigrants suffer from labour exploitation	Immigrants are victims
1069	ENMc2RGs22U	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
1070	fdLAhPiEeX0	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
1071	53S_oP0_1KE	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
1072	lwNudSiAMtA	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
1073	3kuKZRuIFdc	There are too many immigrants coming	Immigration is out of control
1074	Z4xDqQx-Ak4	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
1075	PFLma6zTOeI	Promoting policy initiatives or ideas	We are competent
1076	DWCuMXHy_Ts	None	None
1077	wvnEEQWdcE8	We are being silenced	There is an unfair bias against our political camp
1078	bfnn8VViQXA	There are too many immigrants coming	Immigration is out of control
1079	sGZYvzk5UqA	We are being silenced	There is an unfair bias against our political camp
1080	mDkwAql0ZNc	Anti-Elitism	It is Us vs. Them (the establishment)
1081	lyrKPMoPvFQ	Blaming global elites	Immigration is part of a conspiracy
1082	238UHLIYICA	Immigration is a threat to individual safety	Immigration is a threat
1083	akLL5p_kF60	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
1084	5hM7bgdl6dc	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
1085	KT2sHDILfY0	Anti-Elitism	It is Us vs. Them (the establishment)
1086	TODj49XXqSA	Many asylum seekers are actually economic migrants	Immigration burdens the economy & welfare narrative
1087	5ixohokkD5M	There are too many immigrants coming	Immigration is out of control
1088	JPCQA0kUYw4	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
1089	sn0N4xASzA0	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
1090	OeVooF5OP_0	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
1091	OcJwZbAR_5E	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
1092	gMYcwBZSoZw	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
1093	7kA93qlyoAY	Receiving immigrants is too expensive/ immigration burdens tax payers	Immigration burdens the economy & welfare narrative
1094	jtd_a2EAOc8	Immigrants suffer from labour exploitation	Immigrants are victims
1095	XWCeqvtOK_U	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
1096	ItcL05cwWX0	None	None
1097	ggHoL-37Gz8	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
1098	O3oteu8jwy8	Immigration is a threat to national security	Immigration is a threat
1099	s0OsY1zWsRU	None	None
1100	MxyQZ__ov-4	MS or EU are in breach of international law (e.g. inadequate reception facilities, refoulement at the borders, prolonged asylum procedures)	Immigrants are victims
1101	47l1N5yz7CU	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
1102	3zF2ZwLU_eI	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
1103	wgYGASNQHws	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
1104	dmh1DkQAwVM	Blaming global elites	Immigration is part of a conspiracy
1105	7QRWOIP1OAI	Promoting policy initiatives or ideas	We are competent
1106	6cirpmAb8vc	EU is harmful for our nation	It is Us vs. Them (the establishment)
1107	S5nS38CJFMA	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
1108	ckjejySW45E	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
1109	DezsIvDFv44	There are too many immigrants coming	Immigration is out of control
1110	VIvUonMLGGw	None	None
1111	Gq95gf42mHY	None	None
1112	HIoFZ3BJrv8	There are too many immigrants coming	Immigration is out of control
1113	8WTwYuR9F8c	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
1114	yXHLyUuJvYs	Promoting policy initiatives or ideas	We are competent
